"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We don’t have as many %1 as you requested. Some may be backordered."
"Does not qualify for free shipping.","Does not qualify for free shipping."
"This product ships directly from the manufacturer.","This product ships directly from the manufacturer."
"Please allow %s for delivery.","Please allow %s for delivery."
"Spend %s more on regularly-priced items and save %s on all qualifying items!","Spend %s more on regularly-priced items and save %s on all qualifying items!"
